iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
185,128,3,1,3584,128,3,2,147584,256,5,0,819456,970624
186,128,3,1,3584,256,1,2,33024,16,3,0,36880,73488
187,128,3,1,3584,128,5,0,409728,16,5,2,51216,464528
188,128,3,1,3584,256,5,0,819456,32,5,2,204832,1027872
189,128,3,1,3584,128,1,2,16512,32,3,0,36896,56992
190,128,3,1,3584,256,3,0,295168,16,1,1,4112,302864
191,128,3,1,3584,64,3,2,73792,16,5,0,25616,102992
192,128,3,1,3584,16,1,2,2064,128,5,2,51328,56976
193,128,3,1,3584,64,1,1,8256,256,3,2,147712,159552
194,128,3,1,3584,128,3,1,147584,64,1,2,8256,159424
195,128,3,1,3584,32,1,1,4128,32,5,1,25632,33344
196,128,3,1,3584,128,1,2,16512,64,1,2,8256,28352
197,128,3,1,3584,128,5,1,409728,256,3,0,295168,708480
198,128,3,1,3584,128,3,2,147584,256,5,2,819456,970624
199,128,3,1,3584,64,3,2,73792,64,3,1,36928,114304
200,128,3,1,3584,16,3,0,18448,256,1,2,4352,26384
201,128,3,1,3584,256,5,0,819456,64,3,1,147520,970560
202,128,3,1,3584,256,5,0,819456,256,5,0,1638656,2461696
203,128,3,1,3584,128,3,2,147584,32,1,2,4128,155296
204,128,3,1,3584,32,3,0,36896,256,1,2,8448,48928
205,128,3,1,3584,128,1,2,16512,256,3,1,295168,315264
206,128,3,1,3584,64,5,1,204864,16,1,1,1040,209488
207,128,3,1,3584,256,1,0,33024,256,3,1,590080,626688
208,128,3,1,3584,64,3,1,73792,256,1,2,16640,94016
209,128,3,1,3584,32,1,2,4128,256,5,0,205056,212768
210,128,3,1,3584,16,3,1,18448,128,3,2,18560,40592
211,128,3,1,3584,128,3,0,147584,256,5,1,819456,970624
212,128,3,1,3584,128,3,2,147584,16,3,2,18448,169616
213,128,3,1,3584,64,5,2,204864,64,5,2,102464,310912
214,128,3,1,3584,256,5,0,819456,64,5,2,409664,1232704
215,128,3,1,3584,32,3,2,36896,64,5,0,51264,91744
216,128,3,1,3584,64,5,2,204864,16,5,2,25616,234064
217,128,3,1,3584,256,3,2,295168,256,5,2,1638656,1937408
218,128,3,1,3584,16,5,2,51216,128,3,2,18560,73360
219,128,3,1,3584,128,3,0,147584,128,1,1,16512,167680
220,128,3,1,3584,64,1,2,8256,128,5,0,204928,216768
221,128,3,1,3584,32,1,2,4128,32,3,2,9248,16960
222,128,3,1,3584,64,1,2,8256,128,5,0,204928,216768
223,128,3,1,3584,64,5,0,204864,64,1,1,4160,212608
224,128,3,1,3584,256,5,2,819456,128,3,2,295040,1118080
225,128,3,1,3584,64,1,1,8256,256,1,1,16640,28480
226,128,3,1,3584,32,5,0,102432,256,5,2,205056,311072
227,128,3,1,3584,128,3,2,147584,256,5,1,819456,970624
228,128,3,1,3584,32,5,1,102432,32,1,2,1056,107072
229,128,3,1,3584,64,3,2,73792,64,3,2,36928,114304
230,128,3,1,3584,256,1,2,33024,256,5,2,1638656,1675264
231,128,3,1,3584,256,3,2,295168,16,5,2,102416,401168
232,128,3,1,3584,128,5,1,409728,16,3,2,18448,431760
233,128,3,1,3584,64,5,0,204864,256,3,2,147712,356160
234,128,3,1,3584,64,3,0,73792,64,3,0,36928,114304
235,128,3,1,3584,64,3,0,73792,32,1,1,2080,79456
236,128,3,1,3584,32,5,0,102432,128,5,2,102528,208544
237,128,3,1,3584,32,5,2,102432,128,5,0,102528,208544
238,128,3,1,3584,64,5,0,204864,64,5,0,102464,310912
239,128,3,1,3584,256,3,2,295168,16,5,0,102416,401168
240,128,3,1,3584,256,1,1,33024,128,3,2,295040,331648
241,128,3,1,3584,128,3,2,147584,128,1,2,16512,167680
242,128,3,1,3584,64,1,2,8256,32,5,2,51232,63072
243,128,3,1,3584,128,1,2,16512,64,3,1,73792,93888
244,128,3,1,3584,64,5,1,204864,128,1,1,8320,216768
245,128,3,1,3584,256,5,2,819456,128,3,0,295040,1118080
246,128,3,1,3584,64,1,1,8256,64,3,1,36928,48768
247,128,3,1,3584,32,5,1,102432,32,3,1,9248,115264
248,128,3,1,3584,16,3,2,18448,256,5,1,102656,124688
249,128,3,1,3584,32,3,2,36896,128,3,2,36992,77472
250,128,3,1,3584,16,3,2,18448,32,5,0,12832,34864
251,128,3,1,3584,256,5,1,819456,256,1,2,65792,888832
252,128,3,1,3584,256,5,0,819456,256,5,2,1638656,2461696
253,128,3,1,3584,16,5,2,51216,64,5,0,25664,80464
254,128,3,1,3584,16,1,0,2064,64,5,1,25664,31312
255,128,3,1,3584,256,1,0,33024,128,5,0,819328,855936
256,128,3,1,3584,256,5,2,819456,16,1,2,4112,827152
257,128,3,1,3584,64,3,2,73792,64,5,2,102464,179840
258,128,3,1,3584,64,5,0,204864,32,5,1,51232,259680
259,128,3,1,3584,128,3,2,147584,64,5,0,204864,356032
