iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
215,128,3,1,3584,64,5,2,204864,64,3,1,36928,245376
216,128,3,1,3584,64,1,0,8256,256,1,2,16640,28480
217,128,3,1,3584,256,3,1,295168,64,1,1,16448,315200
218,128,3,1,3584,256,3,0,295168,256,5,2,1638656,1937408
219,128,3,1,3584,256,1,2,33024,256,1,2,65792,102400
220,128,3,1,3584,256,3,0,295168,256,5,0,1638656,1937408
221,128,3,1,3584,256,5,1,819456,64,1,1,16448,839488
222,128,3,1,3584,256,1,2,33024,256,5,1,1638656,1675264
223,128,3,1,3584,128,1,0,16512,64,5,0,204864,224960
224,128,3,1,3584,256,5,1,819456,256,1,2,65792,888832
225,128,3,1,3584,64,3,0,73792,256,5,0,409856,487232
226,128,3,1,3584,256,5,0,819456,256,5,1,1638656,2461696
227,128,3,1,3584,256,5,2,819456,32,1,0,8224,831264
228,128,3,1,3584,256,5,2,819456,64,1,2,16448,839488
229,128,3,1,3584,128,5,0,409728,32,3,0,36896,450208
230,128,3,1,3584,256,1,0,33024,128,3,1,295040,331648
231,128,3,1,3584,128,3,2,147584,64,3,2,73792,224960
232,128,3,1,3584,256,5,2,819456,64,1,1,16448,839488
233,128,3,1,3584,32,1,2,4128,64,5,2,51264,58976
234,128,3,1,3584,128,3,2,147584,64,3,0,73792,224960
235,128,3,1,3584,128,5,2,409728,64,5,0,204864,618176
236,128,3,1,3584,256,5,0,819456,64,1,1,16448,839488
237,128,3,1,3584,128,3,2,147584,16,5,2,51216,202384
238,128,3,1,3584,32,5,2,102432,32,5,2,25632,131648
239,128,3,1,3584,256,3,0,295168,128,5,2,819328,1118080
240,128,3,1,3584,256,3,0,295168,256,5,1,1638656,1937408
241,128,3,1,3584,128,1,2,16512,64,5,2,204864,224960
242,128,3,1,3584,64,1,2,8256,128,3,1,73856,85696
243,128,3,1,3584,128,1,1,16512,32,1,0,4128,24224
