iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
242,64,5,2,4864,256,3,1,147712,128,3,1,295040,447616
243,64,3,0,1792,64,3,2,36928,64,1,1,4160,42880
244,256,3,2,7168,256,3,1,590080,128,3,0,295040,892288
245,256,3,2,7168,256,3,1,590080,64,3,2,147520,744768
246,64,5,1,4864,32,3,0,18464,64,3,2,18496,41824
247,64,5,2,4864,32,3,0,18464,32,5,1,25632,48960
248,256,1,2,1024,256,5,1,1638656,128,5,2,819328,2459008
249,32,3,2,896,256,3,1,73984,128,3,1,295040,369920
250,256,3,2,7168,128,3,0,295040,32,3,2,36896,339104
251,128,3,2,3584,128,3,2,147584,256,5,1,819456,970624
252,16,5,1,1216,16,3,0,2320,256,1,1,4352,7888
253,256,5,0,19456,128,5,0,819328,32,3,0,36896,875680
254,256,3,0,7168,256,3,1,590080,256,3,0,590080,1187328
255,256,3,2,7168,64,3,1,147520,32,1,1,2080,156768
256,64,3,1,1792,32,3,1,18464,256,3,1,73984,94240
257,256,3,2,7168,32,3,0,73760,128,3,1,36992,117920
258,32,3,2,896,128,3,2,36992,128,3,0,147584,185472
259,256,3,1,7168,64,5,1,409664,32,1,1,2080,418912
260,256,3,1,7168,128,3,1,295040,128,3,1,147584,449792
261,32,3,2,896,16,3,1,4624,32,5,2,12832,18352
262,256,3,2,7168,128,1,0,32896,32,3,2,36896,76960
263,256,3,1,7168,128,3,2,295040,256,5,2,819456,1121664
264,256,3,1,7168,128,5,0,819328,64,3,2,73792,900288
265,256,3,1,7168,128,5,1,819328,128,3,1,147584,974080
266,64,3,2,1792,256,3,1,147712,128,3,2,295040,444544
267,32,3,1,896,128,3,1,36992,128,3,2,147584,185472
268,16,3,1,448,64,3,0,9280,32,3,2,18464,28192
269,256,3,1,7168,32,3,0,73760,128,3,2,36992,117920
270,32,3,2,896,128,3,2,36992,128,3,1,147584,185472
271,256,3,1,7168,256,3,2,590080,32,3,2,73760,671008
272,256,3,2,7168,32,3,1,73760,32,3,1,9248,90176
273,32,3,2,896,256,3,2,73984,64,3,2,147520,222400
274,256,3,1,7168,128,1,1,32896,256,1,0,33024,73088
275,128,3,2,3584,256,3,2,295168,256,3,2,590080,888832
276,256,3,0,7168,16,1,2,4112,128,3,2,18560,29840
277,128,3,2,3584,256,3,2,295168,256,3,0,590080,888832
278,32,3,2,896,32,3,2,9248,256,3,1,73984,84128
279,64,3,2,1792,128,5,2,204928,256,3,0,295168,501888
280,64,3,2,1792,32,3,2,18464,64,3,0,18496,38752
281,256,3,1,7168,256,3,2,590080,32,3,1,73760,671008
282,32,3,2,896,128,3,2,36992,32,3,2,36896,74784
283,16,1,2,64,256,3,2,37120,256,3,2,590080,627264
284,256,3,1,7168,256,1,1,65792,128,3,1,295040,368000
285,32,3,2,896,64,3,0,18496,128,3,2,73856,93248
286,256,3,2,7168,128,3,1,295040,256,3,2,295168,597376
287,256,3,1,7168,256,3,2,590080,32,3,2,73760,671008
288,256,3,1,7168,128,3,2,295040,128,5,1,409728,711936
289,16,5,2,1216,256,5,2,102656,256,5,1,1638656,1742528
290,32,3,2,896,128,5,2,102528,256,3,1,295168,398592
291,16,3,2,448,256,3,1,37120,32,3,1,73760,111328
292,256,5,1,19456,128,3,0,295040,256,3,0,295168,609664
293,256,3,0,7168,32,3,1,73760,128,3,1,36992,117920
294,64,3,2,1792,16,3,1,9232,256,1,2,4352,15376
295,32,3,0,896,16,3,0,4624,256,3,0,37120,42640
296,256,5,2,19456,256,3,1,590080,32,3,1,73760,683296
297,64,3,2,1792,32,3,1,18464,128,3,0,36992,57248
298,256,3,1,7168,32,3,1,73760,256,3,2,73984,154912
299,64,3,2,1792,256,3,1,147712,32,3,2,73760,223264
300,32,3,2,896,32,5,0,25632,128,1,1,4224,30752
301,32,5,0,2432,256,3,0,73984,16,1,1,4112,80528
302,32,3,0,896,64,1,1,2112,64,3,2,36928,39936
303,256,3,2,7168,64,3,0,147520,64,3,2,36928,191616
304,32,3,0,896,128,5,2,102528,128,3,1,147584,251008
305,128,5,2,9728,128,3,1,147584,32,3,2,36896,194208
306,256,3,0,7168,64,3,2,147520,256,3,1,147712,302400
307,32,3,2,896,32,3,1,9248,64,3,1,18496,28640
308,32,3,2,896,256,3,2,73984,32,3,1,73760,148640
309,256,3,2,7168,256,3,0,590080,128,5,2,819328,1416576
310,256,5,0,19456,256,3,1,590080,32,3,2,73760,683296
311,256,3,2,7168,64,3,2,147520,32,3,0,18464,173152
312,256,3,2,7168,32,3,0,73760,32,3,2,9248,90176
313,64,3,1,1792,32,5,1,51232,256,3,1,73984,127008
314,32,5,1,2432,64,3,2,18496,256,3,1,147712,168640
315,256,3,2,7168,32,3,1,73760,256,3,2,73984,154912
316,256,3,1,7168,256,5,2,1638656,64,3,0,147520,1793344
317,256,3,0,7168,64,5,1,409664,128,3,1,73856,490688
318,128,5,2,9728,128,3,1,147584,128,3,2,147584,304896
319,64,3,2,1792,256,3,1,147712,32,3,2,73760,223264
320,256,3,2,7168,128,3,1,295040,128,3,2,147584,449792
321,256,3,2,7168,256,3,1,590080,256,3,2,590080,1187328
322,32,3,0,896,128,3,1,36992,128,3,2,147584,185472
323,16,3,1,448,32,3,0,4640,32,3,2,9248,14336
324,256,3,2,7168,32,3,2,73760,256,3,0,73984,154912
325,256,3,2,7168,256,3,2,590080,128,3,2,295040,892288
326,32,3,2,896,32,3,2,9248,16,3,0,4624,14768
327,32,3,1,896,128,5,1,102528,64,5,0,204864,308288
328,32,1,0,128,256,3,1,73984,32,3,1,73760,147872
329,64,3,2,1792,256,3,1,147712,64,3,2,147520,297024
330,32,3,1,896,256,3,2,73984,256,5,1,1638656,1713536
331,256,3,1,7168,32,3,1,73760,256,1,1,8448,89376
332,256,3,2,7168,256,5,0,1638656,128,3,1,295040,1940864
333,256,3,2,7168,32,3,2,73760,256,3,1,73984,154912
334,64,3,1,1792,32,3,1,18464,32,3,2,9248,29504
335,128,3,2,3584,256,3,2,295168,128,1,1,32896,331648
336,256,3,2,7168,128,5,2,819328,256,3,0,295168,1121664
337,256,3,0,7168,64,3,2,147520,64,3,0,36928,191616
338,256,3,2,7168,256,3,2,590080,32,3,1,73760,671008
339,32,3,1,896,128,5,2,102528,64,3,2,73792,177216
340,64,3,1,1792,256,3,2,147712,256,5,1,1638656,1788160
341,256,3,2,7168,32,3,1,73760,64,3,2,18496,99424
342,256,3,2,7168,128,3,1,295040,64,3,2,73792,376000
343,256,3,2,7168,32,5,1,204832,256,3,2,73984,285984
344,256,3,1,7168,256,3,0,590080,128,3,2,295040,892288
345,256,3,1,7168,16,3,2,36880,256,3,1,37120,81168
346,256,3,2,7168,256,3,1,590080,256,3,2,590080,1187328
347,32,3,1,896,256,3,1,73984,256,3,1,590080,664960
348,256,3,2,7168,32,3,1,73760,256,1,2,8448,89376
349,128,3,1,3584,128,3,2,147584,256,3,2,295168,446336
350,64,3,2,1792,128,3,2,73856,128,3,0,147584,223232
351,64,3,1,1792,256,3,2,147712,256,3,2,590080,739584
352,32,5,1,2432,256,1,0,8448,64,1,2,16448,27328
353,256,5,2,19456,128,3,2,295040,128,3,1,147584,462080
354,16,3,2,448,32,3,2,4640,32,3,2,9248,14336
355,128,3,2,3584,128,3,2,147584,32,3,0,36896,188064
356,256,3,1,7168,256,5,0,1638656,128,3,2,295040,1940864
357,128,3,1,3584,256,5,2,819456,256,3,2,590080,1413120
358,128,3,2,3584,64,3,2,73792,128,1,1,8320,85696
359,128,5,1,9728,128,3,1,147584,16,3,2,18448,175760
360,256,3,2,7168,128,3,2,295040,256,3,1,295168,597376
361,32,3,2,896,256,3,2,73984,256,3,1,590080,664960
362,256,3,2,7168,128,3,1,295040,256,3,1,295168,597376
363,32,3,2,896,64,3,2,18496,256,3,1,147712,167104
364,128,3,2,3584,128,5,1,409728,128,3,1,147584,560896
365,256,5,2,19456,32,3,2,73760,128,3,1,36992,130208
366,32,3,2,896,64,3,1,18496,128,3,2,73856,93248
367,32,3,1,896,64,5,1,51264,256,3,1,147712,199872
368,64,3,1,1792,128,3,2,73856,32,3,0,36896,112544
369,128,3,1,3584,32,5,2,102432,256,3,2,73984,180000
370,64,5,2,4864,256,1,2,16640,64,3,1,147520,169024
371,256,3,2,7168,128,3,1,295040,256,3,2,295168,597376
372,64,3,1,1792,128,3,1,73856,64,3,2,73792,149440
373,32,3,1,896,128,3,2,36992,256,3,1,295168,333056
374,16,5,2,1216,256,3,0,37120,256,3,2,590080,628416
375,128,5,2,9728,256,3,2,295168,64,3,2,147520,452416
376,128,3,2,3584,256,3,1,295168,256,3,2,590080,888832
377,16,5,2,1216,128,3,1,18560,128,3,2,147584,167360
378,128,3,2,3584,256,3,1,295168,128,3,0,295040,593792
379,128,3,2,3584,256,3,1,295168,256,3,1,590080,888832
380,16,3,1,448,128,3,1,18560,256,3,0,295168,314176
381,256,3,2,7168,128,3,1,295040,32,3,1,36896,339104
